status;category;severity_priority;severity_name;severity_effect;begin_date;end_date;duration;cause;line;station
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220715T040000;20220716T034500;0;travaux;11;Mairie des Lilas
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220724T040000;20220725T034500;0;travaux;11;Châtelet
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220724T040000;20220725T034500;0;travaux;11;Mairie des Lilas
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220808T040000;20220809T034500;0;travaux;11;Châtelet
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220808T040000;20220809T034500;0;travaux;11;Mairie des Lilas
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220805T040000;20220806T034500;0;travaux;11;Châtelet
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220805T040000;20220806T034500;0;travaux;11;Mairie des Lilas
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220726T040000;20220727T034500;0;travaux;11;Châtelet
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220726T040000;20220727T034500;0;travaux;11;Mairie des Lilas
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220721T040000;20220722T034500;0;travaux;11;Châtelet
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220721T040000;20220722T034500;0;travaux;11;Mairie des Lilas
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220810T040000;20220811T034500;0;travaux;11;Châtelet
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220810T040000;20220811T034500;0;travaux;11;Mairie des Lilas
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220826T040000;20220827T034500;0;travaux;11;Châtelet
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220826T040000;20220827T034500;0;travaux;11;Mairie des Lilas
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220802T040000;20220803T034500;0;travaux;11;Châtelet
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220802T040000;20220803T034500;0;travaux;11;Mairie des Lilas
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220709T040000;20220710T034500;0;travaux;11;Châtelet
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220709T040000;20220710T034500;0;travaux;11;Mairie des Lilas
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220712T040000;20220713T034500;0;travaux;11;Châtelet
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220712T040000;20220713T034500;0;travaux;11;Mairie des Lilas
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220704T040000;20220705T202504;0;travaux;11;Châtelet
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220704T040000;20220705T202504;0;travaux;11;Mairie des Lilas
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220711T040000;20220712T034500;0;travaux;11;Châtelet
